	course_code	course_title	offering_unit
454	Art Stud 172	Visual Arts in the Philippines 	DAS
455	Art Stud 173	Multi-Dimensional Visual Arts in the Philippines	DAS
456	Art Stud 174	Popular Art and Culture in the Philippines	DAS
457	Art Stud 175	Music in Philippine Culture	DAS
458	Art Stud 176	Dance in Philippine Culture	DAS
459	Art Stud 177	Cinema in Philippine Culture	DAS
460	Art Stud 178	Arts Management in the Philippines	DAS
461	Art Stud 179	Perspectives and Concepts in Philippine Art	DAS
462	Art Stud 180	The Arts in Chinese Civilization from the Neolithic to the Six Dynasties Period (7000 BC-520 AD)	DAS
463	Art Stud 181	The Arts in Chinese Civilization from T'ang to Ch'ing Dynasty (618 AD-1912)	DAS
464	Art Stud 182	Arts of Korea	DAS
465	Art Stud 183	The Arts in Islamic Civilizations	DAS
466	Art Stud 185	Japanese Sculpture and Architecture from their Beginnings to the 19th Century	DAS
467	Art Stud 186	Japanese Painting and Graphic Arts from their Beginnings to the 19th Century	DAS
468	Art Stud 190	Aesthetics and Art Theory	DAS
469	Art Stud 191	Aesthetics and Theories of Art	DAS
470	Art Stud 192	Art Criticism (Practicum)	DAS
471	Art Stud 193	Gender Issues in the Arts	DAS
472	Art Stud 194	Perspectives in Art History	DAS
473	Art Stud 195	Curatorship	DAS
474	Art Stud 196	Art Historiography	DAS
475	Art Stud 197	Special Topics	DAS
476	Art Stud 198	Special Problems	DAS
477	Art Stud 199	Research	DAS
478	Art Stud 200	Thesis	DAS
479	Art Stud 201	Image of the Filipino in the Arts	DAS
480	Art Stud 202	Perspectives in Art Studies in the Philippines	UPD, DAS
481	Art Stud 203	Frameworks and Methods in Art Studies	DAS
482	Art Stud 210	Convergences in Philippine Art (Early History to Spanish Period)	DAS
483	Art Stud 212	Histories and Theorizations of Art	DAS
484	Art Stud 213	Aesthetics and Art Theories in Contemporary Cultures	DAS
485	Art Stud 240	Readings in Art History	DAS
486	Art Stud 245	Readings in Histories and Theorizations of Art	DAS
487	Art Stud 250	Art Historiography	DAS
488	Art Stud 252	Seminar on Issues in Art Studies	DAS
489	Art Stud 255	Art Criticism	DAS
490	Art Stud 270	Philippine Art and Society	DAS
491	Art Stud 271	Issues and Perspectives in the Arts of Philippine Living Traditions	DAS
492	Art Stud 272	Philippine Painting	DAS
493	Art Stud 273	Philippine Sculpture	DAS
494	Art Stud 274	Philippine Cinema	DAS
495	Art Stud 275	Philippine Music	DAS
496	Art Stud 276	Philippine Dance	DAS
